212, 122
179, 175
115, 83
76, 53
238, 149
63, 168
72, 74
186, 192
175, 92
57, 96
118, 103
147, 80
108, 38
189, 236
106, 49
164, 239
105, 159
193, 195
214, 197
123, 26
202, 194
45, 43
160, 165
5, 119
124, 132
172, 73
123, 77
160, 190
209, 111
206, 17
148, 16
101, 23
168, 114
124, 136
186, 203
215, 186
10, 63
154, 175
8, 40
49, 170
154, 165
114, 88
174, 183
233, 233
87, 101
68, 66
106, 40
192, 94
115, 121
231, 150
152, 217
52, 236
49, 30
132, 28
182, 81
97, 236
158, 194
19, 191
27, 202
166, 190
216, 35
85, 212
53, 19
165, 88
33, 74
23, 19
151, 27
48, 107
106, 222
149, 0
100, 177
51, 210
186, 105
180, 72
13, 102
194, 76
144, 233
149, 87
117, 134
15, 82
55, 85
92, 182
168, 14
183, 43
88, 160
191, 127
193, 142
90, 109
5, 92
125, 75
151, 108
133, 160
195, 86
55, 7
156, 185
187, 104
101, 90
54, 3
88, 160
66, 154
62, 177
138, 200
130, 58
146, 74
202, 93
233, 98
192, 174
59, 5
50, 30
121, 145
47, 79
34, 85
72, 148
205, 130
101, 1
176, 51
136, 89
116, 149
77, 231
10, 25
91, 16
182, 179
136, 136
171, 232
185, 86
79, 51
136, 138
197, 42
36, 2
152, 38
207, 208
17, 5
176, 127
114, 165
96, 9
180, 8
119, 55
138, 62
205, 193
172, 82
9, 164
195, 214
167, 175
216, 43
73, 39
19, 190
168, 86
114, 229
75, 235
108, 31
199, 106
92, 223
35, 163
203, 238
163, 176
174, 137
1, 112
228, 205
72, 128
44, 64
144, 154
29, 193
152, 4
83, 58
53, 209
0, 100
49, 172
145, 84
222, 47
224, 59
3, 23
181, 19
54, 179
222, 210
46, 178
171, 143
47, 133
46, 161
90, 209
69, 9
176, 97
96, 9
194, 129
238, 203
66, 191
193, 140
59, 117
145, 33
205, 104
54, 198
190, 55
59, 210
216, 112
148, 42
5, 39
47, 54
5, 205
39, 64
215, 72
175, 61
8, 200
128, 215
28, 225
149, 33
51, 63
145, 48
41, 223
128, 148
235, 27
223, 180
34, 73
45, 89
209, 22
91, 63
31, 165
232, 83
133, 115
149, 52
107, 18
221, 138
91, 45
152, 107
207, 164
209, 201
43, 156
170, 149
229, 155
34, 124
231, 192
4, 37
29, 102
103, 120
165, 231
165, 102
1, 0
72, 133
64, 203
138, 180
226, 168
132, 173
202, 65
105, 173
144, 167
122, 171
171, 237
64, 32
32, 144
22, 20
19, 238
107, 24
80, 145
74, 115
231, 5
195, 109
34, 133
145, 53
64, 145
187, 91
168, 94
178, 79
32, 171
148, 222
215, 67
38, 175
206, 95
107, 132
215, 128
77, 46
130, 113
217, 37
75, 104
94, 135
67, 193
42, 186
225, 235
231, 29
106, 211
67, 238
69, 124
191, 114
134, 115
125, 10
23, 207
233, 237
163, 143
175, 102
216, 226
154, 106
63, 172
15, 169
54, 174
3, 134
25, 113
198, 156
29, 218
226, 130
7, 76
114, 186
161, 1
167, 65
27, 64
11, 101
84, 225
15, 169
120, 123
9, 33
82, 92
41, 91
119, 54
109, 104
177, 198
167, 144
210, 88
124, 176
89, 57
76, 138
194, 195
67, 49
58, 166
111, 216
165, 100
28, 157
198, 152
100, 212
15, 163
40, 98
13, 41
10, 55
214, 99
18, 196
110, 90
104, 110
62, 29
88, 227
173, 162
36, 207
67, 157
40, 237
69, 236
79, 176
137, 21
96, 114
119, 181
188, 206
194, 58
117, 209
3, 129
37, 110
42, 152
97, 136
66, 149
213, 128
63, 2
131, 206
3, 38
204, 34
223, 197
162, 239
159, 52
38, 7
164, 43
92, 223
75, 63
92, 158
122, 181
226, 92
223, 151
112, 11
159, 14
38, 80
221, 183
10, 65
9, 91
35, 118
203, 107
225, 97
199, 1
79, 202
36, 125
7, 204
239, 226
208, 116
164, 6
63, 180
211, 155
56, 91
89, 190
113, 143
93, 150
173, 117
142, 4
191, 33
62, 34
176, 77
128, 220
164, 90
37, 16
236, 17
144, 136
95, 231
4, 148
214, 199
98, 130
154, 229
59, 131
113, 32
74, 41
108, 59
128, 90
90, 171
160, 18
80, 72
237, 25
222, 10
99, 215
150, 179
55, 157
27, 210
84, 5
138, 36
56, 52
28, 131
195, 97
89, 141
119, 222
2, 76
46, 147
112, 103
11, 32
53, 105
85, 213
82, 15
136, 27
87, 137
85, 116
31, 142
46, 124
49, 93
55, 50
41, 173
143, 177
81, 28
124, 142
85, 167
26, 137
226, 28
94, 174
31, 52
134, 125
88, 75
52, 204
190, 76
224, 29
205, 68
143, 46
52, 80
179, 144
177, 166
83, 182
235, 124
103, 224
156, 237
76, 31
104, 4
237, 62
223, 100
232, 195
14, 34
175, 36
237, 135
214, 172
52, 216
112, 194
190, 72
174, 66
127, 122
23, 45
236, 85
21, 151
102, 158
228, 115
197, 25
155, 13
2, 199
236, 138
156, 148
203, 54
173, 160
181, 101
172, 167
33, 96
74, 107
159, 68
73, 18
179, 35
201, 172
200, 34
30, 13
148, 66
183, 123
143, 233
177, 3
32, 131
51, 194
229, 67
169, 120
100, 185
140, 108
210, 155
104, 36
18, 228
86, 49
47, 146
48, 154
125, 114
177, 203
16, 42
16, 112
159, 61
125, 226
227, 49
51, 143
142, 47
203, 169
43, 215
129, 186
31, 177
7, 216
182, 234
181, 8
239, 106
190, 28
115, 196
233, 7
157, 205
108, 46
0, 215
104, 152
160, 86
86, 59
158, 117
130, 101
237, 108
116, 46
103, 231
238, 51
210, 100
162, 228
155, 224
65, 147
4, 47
98, 233
107, 159
62, 2
141, 53
14, 197
35, 205
239, 117
120, 67
186, 125
178, 27
180, 176
9, 15
196, 41
66, 62
109, 168
27, 56
102, 189
25, 128
206, 97
56, 50
222, 31
68, 221
36, 82
212, 226
143, 125
61, 64
197, 14
