54, 102, 103, 139, 48, 17, 118, 92, 125, 37
36, 134, 135, 139, 44, 13, 110, 47, 18, 121
65, 133, 39, 73, 106, 46, 115, 84, 56, 125
64, 63, 74, 16, 85, 58, 59, 28, 29, 95
33, 97, 108, 44, 77, 115, 116, 117, 62, 63
32, 37, 39, 73, 74, 111, 114, 87, 91, 125
66, 113, 110, 79, 49, 82, 22, 56, 90, 122
98, 102, 42, 109, 112, 52, 116, 122, 28, 29
32, 131, 69, 9, 77, 115, 54, 87, 58, 124
35, 134, 8, 11, 15, 67, 20, 117, 87, 126
96, 67, 132, 42, 77, 49, 131, 53, 56, 89
32, 34, 72, 9, 106, 43, 45, 57, 25, 28
130, 15, 83, 52, 22, 87, 56, 25, 27, 31
1, 130, 37, 71, 40, 42, 50, 57, 58, 69
128, 99, 39, 136, 103, 44, 120, 24, 57, 125
96, 32, 133, 9, 75, 12, 77, 58, 59, 92
65, 34, 67, 68, 51, 39, 135, 109, 3, 84
0, 136, 49, 115, 53, 54, 89, 121, 95, 127
1, 100, 70, 73, 139, 108, 109, 86, 24, 28
69, 105, 23, 93, 113, 50, 117, 119, 87, 61
64, 129, 69, 71, 9, 43, 81, 50, 86, 29
133, 134, 136, 41, 72, 84, 119, 89, 27, 61
129, 139, 6, 137, 75, 12, 89, 90, 91, 62
96, 115, 72, 41, 42, 46, 79, 81, 19, 28
33, 18, 35, 135, 45, 14, 79, 114, 88, 61
48, 75, 43, 12, 80, 11, 53, 88, 121, 27
129, 33, 137, 139, 48, 52, 122, 123, 92, 61
33, 41, 106, 12, 78, 21, 25, 117, 85, 127
3, 102, 7, 136, 138, 11, 18, 83, 23, 124
65, 99, 102, 7, 75, 3, 84, 20, 59, 126
35, 36, 69, 139, 79, 115, 85, 122, 31, 127
36, 137, 138, 12, 109, 47, 54, 90, 30, 63
33, 5, 97, 8, 137, 138, 11, 47, 57, 15
32, 91, 4, 43, 58, 24, 90, 27, 92, 26
16, 98, 99, 40, 11, 110, 79, 80, 43, 91
69, 9, 42, 110, 80, 86, 73, 24, 30, 63
128, 1, 41, 46, 113, 82, 30, 89, 126, 31
0, 64, 67, 5, 102, 73, 109, 13, 60, 93
100, 108, 45, 46, 48, 51, 116, 118, 90, 63
2, 67, 101, 71, 43, 14, 16, 84, 92, 5
34, 102, 103, 136, 138, 44, 66, 13, 48, 82
36, 103, 23, 120, 51, 117, 119, 88, 27, 21
64, 35, 71, 10, 7, 13, 48, 84, 23, 124
129, 34, 33, 39, 11, 116, 117, 25, 61, 20
1, 66, 4, 40, 14, 79, 114, 83, 78, 62
68, 38, 11, 46, 113, 86, 24, 100, 60, 127
2, 36, 101, 38, 45, 113, 23, 120, 89, 133
32, 1, 131, 101, 102, 72, 51, 55, 69, 31
0, 38, 40, 105, 42, 108, 86, 25, 26, 63
130, 70, 6, 10, 17, 51, 54, 123, 60, 126
96, 83, 13, 111, 81, 114, 19, 116, 20, 58
38, 81, 41, 76, 110, 47, 16, 49, 120, 123
128, 131, 7, 72, 107, 12, 81, 87, 89, 26
96, 69, 70, 71, 10, 17, 121, 25, 60, 138
0, 133, 49, 104, 106, 17, 8, 31, 101, 63
128, 68, 107, 76, 47, 86, 87, 120, 90, 111
130, 6, 74, 12, 2, 78, 116, 117, 118, 10
32, 97, 99, 135, 136, 11, 13, 14, 113, 123
65, 3, 69, 33, 8, 137, 13, 15, 50, 126
3, 72, 108, 15, 82, 85, 118, 119, 29, 127
67, 37, 107, 108, 109, 45, 49, 131, 53, 93
96, 132, 101, 43, 19, 21, 119, 24, 100, 26
99, 4, 76, 75, 44, 112, 108, 82, 22, 123
35, 4, 38, 103, 48, 3, 54, 132, 124, 31
3, 100, 37, 73, 42, 107, 82, 20, 91, 127
129, 2, 131, 134, 130, 16, 58, 29, 94, 95
98, 68, 6, 40, 73, 74, 75, 44, 116, 86
37, 70, 39, 72, 9, 10, 108, 16, 60, 93
66, 131, 133, 70, 45, 77, 16, 85, 55, 122
35, 135, 8, 13, 47, 19, 20, 53, 58, 30
